!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,0
RT @theChefBoyRD: @victoriaaa_lee @anniespringer_ ew she's so ugly who is that hoe,1
!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,0
@SexWith_SocksOn faggot,1
"@karmendanielle_ u gotta slow down these coon hrs all they know is love n hip hop, lebron, &amp; fake love quotes",1
"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",0
@ViewFromBoxSeat She's a cunt,1
!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,0
"""@ashlingwilde: @ItsNotAdam is bored supposed to be cute, you faggot?"" Sometimes",1
"&#8220;@Crowdifornia: We agree... do you? http://t.co/4diz5NKYMN&#8221; FUCK YES, I DO! Send those illegal, wetbacks home!!!",1
""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",0
Happy Columbus Day! Even #BillMaher likes #cocaine and #Columbus!!! What the fuck is wrong with you #liberals? Fuckin' #moron #retards....,1
@DavetheBrave1 that hoe on some other shit bro rt and 100x better rn that a nigga high,1
RT @PeterpandaCat: @savanigga Sav is a fag,1
""" bitch get up off me """,0
@FreddyAmazin ratchet looking nigger,1
""" bitch plz whatever """,0
Why are some people such faggots? Like were you born that way or are you just that big of a douche bag.,1
""" bitches get cut off everyday B """,0
""" black bottle &amp; a bad bitch """,0
@marylene58 @sunflower1790 @shelliecorreia @Jan4USA no just a niggress that thinks she's human.,1
""" cancel that bitch like Nino """,0
""" cant you see these hoes wont change """,0
RT @TheAfricanSiren: Automatically suspicious of white folk who try too hard to show they like us darkies.,1
RT @salomanizor: Too many faggots on here that think they can address me by my first name,1
""" her pussy lips like Heaven doors "" &#128524;",0
""" hoe what its hitting for """,0
""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",0
""" i need a trippy bitch who fuck on Hennessy """,0
You state it gook,1
Chicks love these ugly hipster faggots. Prolly cause they look like the dad that was never in their life.,1
my mom tried to get me to buy beaner boots bc they were on sale like I'm not in a mariachi band please stop.,1
"Bitch fuck yo nigga, what's up with that pussy!!?!",1
@CarelessOne92 you styl gotta get dem tweets off my nig,1
"What be the peckin order?
1 white Christian
2 colored
3 Porto Ricans 
4 Arab 
5 Jews 

I donts know. I be axin",1
""" is that ya bitch """,0
This niggah know wassup,1
""" jus meet son now he ya mane ass bitches "" #Shots",0
""" lames crying over hoes thats tears of a clown """,0
RT @Arbogucci: Brandon Phelps a hoe ass nigga And wen I see him I'ma smack him like da lil bitch he is #300,1
@Soldier1eaODGrn I don't give a flying fuck what a teabagger piece of human garbage like you thinks =),1
""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",0
RT @Tae_Rhodes: &#8220;@kim92493: &#8220;@Tae_Rhodes: @kim92493 @patpatbush uhhh you've been judged&#8221; it happens. #whitepower...I'll hang you nigger&#8221; wo&#8230;,1
@hellootitty nigger,1
Already more yellows than the last 2 years combined #IndyCar #Honda200,1
@DatBoyRayT because if you support lesbians you have to support faggots there's no difference.,1
""" quick piece of pussy call it a drive by """,0
""" running round here like some brand new pussy thats bout to get fucked """,0
""" these bitches even worst they'll send them guys for you """,0
""" these hoes like niggas that spend money not talk bout it """,0
""" we dont trust these niggas all these bitches """,0
""" yall niggas b cuffing hoes cause yall aint never have bitches """,0
""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",0
""" young Pill Chamberlain these bitches love my music """,0
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",0
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",0
"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",0
@who__CHRISJONES @WhyYouSoShort who is dis crack ass cracker,1
"""...Son of a bitch took my Tic Tacs.""

I like this movie.",0
"@DonnerKay @surlyrevenant An enraged 6'4"" 290 lb Mike Brown lethal weapon on legs.His hatred 4 the police &amp; whitey added fuel 2 his arsenal",1
"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",0
"""@A7XDemery: I'm a fucking fag they said""",0
"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",0
"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",0
"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",0
"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",0
"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",0
"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",0
"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",0
"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",0
"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",0
...aaaaaaaaand it begins. RT @RileydaKafka: Fucking niggers that's all Kentucky is and ever will be,1
"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",0
